1,-6.0817,145.3920,5282
2,-5.2071,145.7890,20
3,-5.8268,144.2960,5388
4,-6.5698,146.7260,239
5,-9.4434,147.2200,146
6,-3.5838,143.6690,19
7,61.1605,-45.4260,112
8,64.1909,-51.6781,283
9,67.0122,-50.7116,165
10,76.5312,-68.7032,251
11,65.6600,-18.0727,6
12,65.2833,-14.4014,76
13,64.2956,-15.2272,24
14,65.9523,-17.4260,48
15,66.0581,-23.1353,8
16,63.9850,-22.6056,171
17,65.5558,-23.9650,11
18,64.1300,-21.9406,48
19,66.1333,-18.9167,10
20,63.4243,-20.2789,326
21,46.4850,-84.5094,630
22,50.0564,-97.0325,760
23,44.6397,-63.4994,144
24,51.3919,-56.0831,108
25,49.0798,-125.7756,80
26,68.5344,-89.8081,56
27,49.1325,-68.2044,71
28,48.3306,-70.9964,522
29,64.2989,-96.0778,59
30,49.9508,-125.2710,346
31,49.9100,-99.9519,1343
32,69.1081,-105.1380,90
33,49.0550,-123.8699,92
34,49.2964,-117.6320,1624
35,47.0078,-65.4492,108
36,47.9908,-66.3303,132
37,67.8167,-115.1440,74
38,52.0750,-111.4450,2595
39,49.1528,-121.9390,32
40,70.4861,-68.5167,87
41,64.1933,-83.3594,210
42,64.0431,-139.1280,1215
43,61.3711,-139.0410,2647
44,49.4681,-120.5110,2298
45,49.2108,-57.3914,72
46,58.4222,-130.0320,2600
47,51.1008,-100.0520,999
48,55.7423,-120.1830,2148
49,53.3097,-113.5800,2373
50,61.0942,-94.0708,32
51,49.2103,-102.9660,1905
52,53.5789,-116.4650,3043
53,79.9947,-85.8142,256
54,68.3042,-133.4830,224
55,63.7564,-68.5558,110
56,45.8689,-66.5372,68
57,48.7461,-69.0972,293
58,54.6781,-101.6820,997
59,61.1808,-113.6900,526
60,61.7602,-121.2370,555
61,44.2253,-76.5969,305
62,53.6253,-77.7042,639
63,48.7753,-64.4786,112
64,49.7783,-86.9394,1144
65,47.4247,-61.7781,35
66,52.8167,-102.3110,1175
67,49.8317,-92.7442,1354
68,70.7628,-117.8060,117
69,68.6356,-95.8497,152
